Company,Date,Open,High,Low,Close,Adj Close,Volume,PctChange
DWDP,2/13/18,71.339996,71.75,70.599998,70.75,70.386986,6619100,-3.741496599
DWDP,2/14/18,69.989998,71.5,69.900002,71.330002,70.964012,7483400,-2.952378231
DWDP,2/15/18,72.059998,72.25,70.879997,71.849998,71.481339,6405900,-2.24490068
DWDP,2/16/18,71.660004,72.940002,71.510002,71.949997,71.580826,6939100,-2.108847619
DWDP,2/20/18,71.599998,72.339996,71.330002,71.620003,71.252525,6743000,-2.557819048
DWDP,2/21/18,71.5,72.650002,70.919998,70.959999,70.595909,7298800,-3.455783673
DWDP,2/22/18,71.330002,72.669998,71.199997,71.93,71.560928,6506500,-2.136054422
DWDP,2/23/18,72.459999,73.370003,71.699997,73.260002,72.884109,6021500,-0.326527891
DWDP,2/26/18,73.419998,74.120003,73.050003,74.059998,73.68,6647000,0.761902041
DWDP,2/27/18,73.269997,73.82,72.360001,72.360001,72.360001,6727300,-1.551019048
DWDP,2/28/18,72.5,72.959999,70.25,70.300003,70.300003,8154000,-4.353737415
GS,2/1/18,266.149994,272.589996,266,272.230011,271.467987,3388200,0
GS,2/2/18,270,271.75,259.350006,260.040009,259.312103,5913900,-4.477831799
GS,2/5/18,257.51001,263.299988,241.5,249.110001,248.412689,6528500,-8.492821903
GS,2/6/18,244.210007,258.75,242.110001,258.700012,257.975861,6739900,-4.970061512
GS,2/7/18,255.899994,261.950012,255.660004,257.100006,256.380341,4125000,-5.557802001
GS,2/8/18,257.929993,258.779999,246.050003,246.350006,245.660416,4166200,-9.506668609
GS,2/9/18,249.619995,251.669998,239.289993,249.300003,248.602158,5978600,-8.423027247
GS,2/12/18,251.149994,256.149994,248.820007,253.160004,252.451355,3692500,-7.005108265
GS,2/13/18,252.009995,256.399994,250.580002,255.529999,254.814713,2700500,-6.134522766
GS,2/14/18,255,262.709991,254.479996,262.579987,261.844971,3793800,-3.544805352
GS,2/15/18,265.76001,268,262.910004,267.679993,266.930695,3523100,-1.671387362
GS,2/16/18,265.98999,269.279999,265.899994,267.619995,266.87088,2602500,-1.693426813
GS,2/20/18,266.890015,268.850006,263.309998,264.890015,264.148529,2618400,-2.696247917
GS,2/21/18,263.920013,270,263.130005,263.399994,262.662689,3017900,-3.243586909
GS,2/22/18,264.399994,266.320007,260.720001,261.429993,260.698181,2678900,-3.967240041
GS,2/23/18,263,266.980011,262.399994,266.769989,266.023254,2507100,-2.005664982
GS,2/26/18,267.5,271.779999,266.769989,271.26001,270.500702,2751400,-0.356316703
GS,2/27/18,271,273.119995,267.929993,267.929993,267.179993,3140600,-1.579553255
GS,2/28/18,269.140015,269.48999,262.570007,262.929993,262.929993,3104300,-3.416235398
HD,2/1/18,199.339996,202.25,198.279999,199.899994,199.899994,3553800,0
HD,2/2/18,199.25,199.300003,193.440002,193.970001,193.970001,6179000,-2.966479829
HD,2/5/18,190.070007,194.300003,180.380005,183.110001,183.110001,10618500,-8.39919635
HD,2/6/18,178.619995,191.960007,175.419998,191.039993,191.039993,11682700,-4.432216741
HD,2/7/18,190.729996,194.520004,189.720001,191.289993,191.289993,6016800,-4.307154206
HD,2/8/18,191.139999,191.139999,180.929993,181.220001,181.220001,7241800,-9.344669115
HD,2/9/18,183.25,186,175.789993,184.119995,184.119995,9059200,-7.89394671
HD,2/12/18,186.550003,187.009995,183.410004,184.059998,184.059998,6783700,-7.923960218
HD,2/13/18,183.229996,183.990005,180.889999,183.720001,183.720001,4273800,-8.094043765
HD,2/14/18,181.880005,185.059998,181.050003,184.690002,184.690002,6767000,-7.608800629
HD,2/15/18,186.740005,187.190002,183.259995,185.270004,185.270004,5113300,-7.318654547
HD,2/16/18,185.059998,187.990005,184.860001,186.970001,186.970001,7619200,-6.468230809
HD,2/20/18,189.899994,191.440002,186.309998,186.710007,186.710007,8922100,-6.598292844
HD,2/21/18,187.210007,187.979996,182.860001,183.059998,183.059998,7527200,-8.424210358
HD,2/22/18,183.720001,186.220001,182.910004,185.470001,185.470001,5653900,-7.21860602
HD,2/23/18,186.199997,188.410004,185.619995,188.350006,188.350006,4315400,-5.777883115
HD,2/26/18,189.169998,189.789993,187.860001,188.460007,188.460007,4648000,-5.722855099
HD,2/27/18,188.869995,189.25,184.960007,184.979996,184.979996,4618800,-7.463731089
HD,2/28/18,184.410004,186.649994,182.270004,182.270004,182.270004,6419900,-8.819404967
IBM,2/1/18,163.190002,164.130005,161.899994,162.399994,160.816635,4434200,0
IBM,2/2/18,161.699997,162,158.869995,159.029999,157.479492,5251900,-2.075120151
IBM,2/5/18,157.889999,158.5,150,152.529999,151.042862,8746600,-6.077583353
IBM,2/6/18,150.289993,155.490005,149.110001,155.339996,153.82547,9867700,-4.347289569
IBM,2/7/18,154.169998,155.339996,153.279999,153.850006,152.350006,6149200,-5.26477113
IBM,2/8/18,152.479996,153.160004,147.5,147.589996,147.589996,6779100,-9.119457233
IBM,2/9/18,148.600006,150.539993,144.399994,149.509995,149.509995,7828300,-7.937191796
IBM,2/12/18,150.899994,152.399994,150.300003,151.399994,151.399994,5881400,-6.773399265
IBM,2/13/18,150.899994,151.179993,149.639999,150.75,150.75,4891000,-7.173641891
IBM,2/14/18,150.190002,155,150,154.759995,154.759995,5479000,-4.704433056
IBM,2/15/18,155.5,156.860001,153.699997,156.009995,156.009995,5623600,-3.934728594
IBM,2/16/18,155.710007,157.789993,155.690002,156.179993,156.179993,4282900,-3.830050018
IBM,2/20/18,155.789993,155.960007,153.869995,155.160004,155.160004,4489600,-4.458122086
IBM,2/21/18,155.429993,156.789993,153.899994,153.960007,153.960007,3728600,-5.197036522
IBM,2/22/18,154.5,155.039993,152.789993,153.179993,153.179993,4024600,-5.677340727
IBM,2/23/18,154.300003,155.850006,154.070007,155.520004,155.520004,3256100,-4.236447201
IBM,2/26/18,155.809998,158.880005,155.509995,158.580002,158.580002,3610300,-2.35221191
IBM,2/27/18,158.460007,159.779999,156.529999,156.550003,156.550003,4237300,-3.60221134
IBM,2/28/18,157.5,158.139999,155.800003,155.830002,155.830002,3803500,-4.045561726
INTC,2/1/18,47.700001,48.470001,47.450001,47.650002,47.328911,28840400,0
INTC,2/2/18,47.32,47.790001,46.099998,46.150002,45.839016,28663000,-3.147953698
INTC,2/5/18,46.349998,47.259998,44.5,44.52,44.220001,47869000,-6.568734247
INTC,2/6/18,44.02,44.93,43.029999,44.91,44.91,58145400,-5.750266285
INTC,2/7/18,44.580002,46.299999,44.34,45.200001,45.200001,37508400,-5.141659805
INTC,2/8/18,45.279999,45.419998,42.740002,42.75,42.75,43151300,-10.28331961
INTC,2/9/18,43.5,44.279999,42.040001,43.950001,43.950001,49301100,-7.764954553
INTC,2/12/18,44.150002,45.16,44.09,44.830002,44.830002,28379500,-5.918152952
INTC,2/13/18,44.59,44.779999,44.259998,44.459999,44.459999,19517600,-6.694654493
INTC,2/14/18,44.07,45.509998,44.040001,45.380001,45.380001,19922000,-4.763905361
INTC,2/15/18,45.880001,45.990002,44.950001,45.919998,45.919998,23536800,-3.630648326
INTC,2/16/18,45.82,46.59,45.509998,45.560001,45.560001,21475200,-4.386150918
INTC,2/20/18,45.459999,46.709999,45.389999,46.32,46.32,25512000,-2.791189809
INTC,2/21/18,46.669998,47.060001,45.919998,45.939999,45.939999,27527500,-3.588673511
INTC,2/22/18,46.139999,46.560001,45.619999,45.799999,45.799999,16946400,-3.882482523
INTC,2/23/18,46.34,47.790001,46.310001,47.73,47.73,26040900,0.167886667
